[0.49874581 0.50125419]
[0.49874325 0.50125675]
[0.49874048 0.50125952]
[0.49873862 0.50126138]
[0.49873616 0.50126384]
[0.49873332 0.50126668]
[0.49873062 0.50126938]
[0.49872798 0.50127202]
[0.49872566 0.50127434]
[0.49872313 0.50127687]
[0.49872102 0.50127898]
[0.49871855 0.50128145]
[0.49871632 0.50128368]
[0.49871377 0.50128623]
[0.49871136 0.50128864]
[0.49870887 0.50129113]
[0.4987065 0.5012935]
[0.49870403 0.50129597]
[0.49870168 0.50129832]
[0.49869927 0.50130073]
[0.4986965 0.5013035]
[0.49869412 0.50130588]
[0.49869174 0.50130826]
[0.49868938 0.50131062]
[0.49868735 0.50131265]
[0.49868513 0.50131487]
[0.49868291 0.50131709]
[0.49868093 0.50131907]
[0.49867861 0.50132139]
[0.49867643 0.50132357]
[0.4986738 0.5013262]
[0.49867148 0.50132852]
[0.49866921 0.50133079]
[0.4986669 0.5013331]
[0.49866463 0.50133537]
[0.49866276 0.50133724]
[0.4986608 0.5013392]
[0.49865876 0.50134124]
[0.49865625 0.50134375]
[0.49865408 0.50134592]
[0.49865168 0.50134832]
[0.49864932 0.50135068]
[0.49864701 0.50135299]
[0.49864467 0.50135533]
[0.49864238 0.50135762]
[0.49864032 0.50135968]
[0.49863828 0.50136172]
[0.49863582 0.50136418]
[0.49863311 0.50136689]
[0.49863087 0.50136913]
[0.49862887 0.50137113]
