[3.9951901  4.49330081]
[3.90107059 4.3310837 ]
[3.80824646 4.18240674]
[3.71235132 4.05625965]
[3.61236745 3.95525023]
[3.51847171 3.85630382]
[3.42932368 3.7606299 ]
[3.34659858 3.66524   ]
[3.26130193 3.59001081]
[3.18413624 3.50404912]
[3.10450235 3.43826381]
[3.02951641 3.37116878]
[2.95710502 3.31090037]
[2.88865619 3.25118349]
[2.82320516 3.19171173]
[2.75935429 3.13803736]
[2.69831919 3.08897853]
[2.64239114 3.02591217]
[2.58631653 2.97409637]
[2.53074736 2.93515814]
[2.47746657 2.89836606]
[2.42753039 2.85567249]
[2.37943028 2.81500007]
[2.33287816 2.778273  ]
[2.28977936 2.73270234]
[2.24634658 2.69740763]
[2.20404985 2.66464378]
[2.16391067 2.62995288]
[2.12619312 2.59200738]
[2.0887901 2.55911  ]
[2.05266056 2.53200414]
[2.01682671 2.50947383]
[1.98324631 2.48162456]
[1.95066025 2.45669988]
[1.91988025 2.42145418]
[1.88846481 2.39794293]
[1.85995931 2.36845431]
[1.8304868  2.34642623]
[1.80239449 2.31975204]
[1.77579234 2.29236883]
[1.74884156 2.28093621]
[1.72300644 2.26084015]
[1.69720555 2.24870357]
[1.67394622 2.21922872]
[1.64966448 2.20571462]
[1.62593593 2.19832065]
[1.60395677 2.18486117]
[1.58234077 2.16487462]
[1.5607047  2.15202066]
[1.53987955 2.14080507]
[1.5196384  2.12393288]
