[3.99429764 4.4972634 ]
[3.90390967 4.3267979 ]
[3.80392727 4.19441843]
[3.70770699 4.06778015]
[3.61641728 3.94638873]
[3.52543436 3.84216504]
[3.43342591 3.75299057]
[3.34848011 3.6603101 ]
[3.26341044 3.58119258]
[3.18189413 3.50615418]
[3.1038019  3.43896869]
[3.0285353  3.37704058]
[2.95948998 3.30249806]
[2.88799132 3.25191808]
[2.82437136 3.18580466]
[2.7595436 3.1340543]
[2.69815529 3.08171559]
[2.64037395 3.03106144]
[2.58582346 2.97299249]
[2.53375476 2.92100837]
[2.48060164 2.88271459]
[2.43156751 2.8352231 ]
[2.3839429  2.79345961]
[2.33497964 2.76499646]
[2.28932942 2.72763361]
[2.24570669 2.69292519]
[2.20355012 2.66301029]
[2.16387222 2.62776081]
[2.12500564 2.60456896]
[2.08761479 2.57208874]
[2.05101892 2.54024402]
[2.01522187 2.51116794]
[1.9807178  2.49160511]
[1.94724961 2.46905667]
[1.91489646 2.44430834]
[1.88303883 2.41922538]
[1.85414578 2.38721727]
[1.82616369 2.35766747]
[1.7984408  2.33127705]
[1.7713878  2.30677015]
[1.74470786 2.28438812]
[1.72011347 2.25915786]
[1.69473973 2.24760187]
[1.67096804 2.22741649]
[1.64645535 2.20904954]
[1.62316724 2.19404141]
[1.60076864 2.17686868]
[1.57954987 2.16006069]
[1.55828095 2.14718452]
[1.53716338 2.13811931]
[1.51739247 2.1258093 ]
