[3.99207069 4.50821617]
[3.90387393 4.33131753]
[3.80402975 4.19685894]
[3.70468014 4.07866078]
[3.61193547 3.96175195]
[3.5169787 3.8664803]
[3.42452855 3.77681791]
[3.33933349 3.68345351]
[3.25509557 3.60526052]
[3.17549107 3.52684025]
[3.10182828 3.44431933]
[3.02842671 3.37430616]
[2.95594425 3.31512191]
[2.88672823 3.25307351]
[2.82152839 3.19227153]
[2.75742913 3.14313585]
[2.69886481 3.08294045]
[2.63992168 3.03610517]
[2.58394387 2.98807541]
[2.52999168 2.94063934]
[2.47786975 2.89508237]
[2.42879997 2.84760104]
[2.38241339 2.79586418]
[2.33669545 2.75147394]
[2.29138585 2.71557499]
[2.24885451 2.67634007]
[2.20690886 2.64560013]
[2.1664587  2.62209084]
[2.1281379  2.58759625]
[2.09032322 2.55805669]
[2.05366527 2.52900775]
[2.01820525 2.50231773]
[1.98307778 2.48227769]
[1.9509678  2.44740207]
[1.92021533 2.41749676]
[1.88861754 2.39462031]
[1.85833368 2.37720093]
[1.83008102 2.3498336 ]
[1.80149106 2.32594613]
[1.77349435 2.30838754]
[1.74613968 2.28922128]
[1.72015122 2.27344889]
[1.69495466 2.25441467]
[1.67025091 2.23491783]
[1.64646185 2.22288699]
[1.62343756 2.20945688]
[1.60104338 2.18895333]
[1.57864428 2.17624772]
[1.55868625 2.14865507]
[1.53774809 2.13284516]
[1.51761389 2.11911741]
