[3.99561462 4.5061896 ]
[3.91651684 4.31025855]
[3.81564571 4.18063633]
[3.71223527 4.07151504]
[3.62068779 3.95120071]
[3.52746762 3.84997757]
[3.43990941 3.74897956]
[3.34891169 3.67492116]
[3.26500126 3.59398713]
[3.18320974 3.52044945]
[3.10571622 3.44780821]
[3.03215578 3.37511212]
[2.96190642 3.30412828]
[2.89345933 3.24080018]
[2.8276693 3.1818531]
[2.76546224 3.12090504]
[2.70414467 3.07127252]
[2.64654327 3.01930164]
[2.59050957 2.9703102 ]
[2.5369468  2.92298732]
[2.48591174 2.87553573]
[2.43462463 2.83905183]
[2.38661479 2.79625797]
[2.339343   2.76560005]
[2.29301583 2.73548074]
[2.24964125 2.69910167]
[2.20840242 2.6613028 ]
[2.16846877 2.62429705]
[2.13022241 2.59078665]
[2.09365381 2.5530937 ]
[2.05597851 2.52836507]
[2.01979553 2.50360764]
[1.98519616 2.47644968]
[1.95260879 2.44841911]
[1.92054888 2.42063411]
[1.88981569 2.39107318]
[1.85955001 2.37090291]
[1.82996875 2.34770385]
[1.80119608 2.32387021]
[1.77394993 2.30195405]
[1.74891162 2.27245164]
[1.72298886 2.25567626]
[1.69718607 2.23736842]
[1.6729658  2.22194446]
[1.65008304 2.19676741]
[1.62656284 2.1866032 ]
[1.60392707 2.17426072]
[1.58221086 2.15803621]
[1.56162578 2.14067442]
[1.54083287 2.1320582 ]
[1.52017963 2.11838126]
