[0.27693347 0.72306653]
[0.31282536 0.68717464]
[0.3278755 0.6721245]
[0.34407548 0.65592452]
[0.35099603 0.64900397]
[0.35610083 0.64389917]
[0.36091084 0.63908916]
[0.35621085 0.64378915]
[0.35650767 0.64349233]
[0.35332986 0.64667014]
[0.34909374 0.65090626]
[0.34792217 0.65207783]
[0.34078306 0.65921694]
[0.33387014 0.66612986]
[0.33404789 0.66595211]
[0.33191314 0.66808686]
[0.33085469 0.66914531]
[0.33162086 0.66837914]
[0.32576769 0.67423231]
[0.32295227 0.67704773]
[0.31812076 0.68187924]
[0.31626258 0.68373742]
[0.3088216 0.6911784]
[0.3022982 0.6977018]
[0.29723499 0.70276501]
[0.29624849 0.70375151]
[0.29675892 0.70324108]
[0.29132128 0.70867872]
[0.28882477 0.71117523]
[0.28813545 0.71186455]
[0.28563252 0.71436748]
[0.2813221 0.7186779]
[0.27824022 0.72175978]
[0.27443281 0.72556719]
[0.2734249 0.7265751]
[0.27361626 0.72638374]
[0.27208541 0.72791459]
[0.26925347 0.73074653]
[0.26657678 0.73342322]
[0.26401271 0.73598729]
[0.26135413 0.73864587]
[0.25849357 0.74150643]
[0.25574319 0.74425681]
[0.25462581 0.74537419]
[0.25221118 0.74778882]
[0.24771551 0.75228449]
[0.24536604 0.75463396]
[0.24057422 0.75942578]
[0.23619264 0.76380736]
[0.23514676 0.76485324]
[0.23359486 0.76640514]
